school_name,official_school_code,short_name,school_type,sector,region,province,city,website,address,directory_source,is_active
Tawi-Tawi Regional Agricultural College - Languyan,15014b,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Tawi-Tawi Regional Agricultural College - Sibutu,15014d,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Tawi-Tawi Regional Agricultural College - Tarawakan,15014a,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Tawi-Tawi Regional Agricultural College-Simunul,15014c,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Tawi-Tawi School of Midwifery,15026,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Unda Memorial National Agricultural School,15015,,CHED-Supervised Institution,,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Universal College Foundation of Southeast Asia and the Pacific,15080,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Basilan,CHED,true
University of Southern Mindanao - Buluan,15059,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Upi Agricultural School-Provincial Technical Institute of Agriculture,15017,,CHED-Supervised Institution,,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Wisdom International School for Higher Education Studies,15050,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Abra State Institute of Science and Technology - Bangued,14001,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Santiago Street Zone 3, Bangued, Abra",CHED,true
Abra State Institute of Science and Technology - Main,14002,,Chartered State College/University (Main),,Cordillera Administrative Region (CAR),,,,"Langangilang, Lagangilang, Abra",CHED,true
Abra Valley Colleges,14003,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Mc. Kinley Street, Corner Taft St., Bangued, Abra",CHED,true
AMA Computer College - Baguio,14040,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Aspiras Palispis Highway, Baguio City, Benguet",CHED,true
Apayao State College - Luna,14031,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"San Isidro Sur, Luna, Apayao",CHED,true
Apayao State College - Main,14004,,Chartered State College/University (Main),,Cordillera Administrative Region (CAR),,,,"Malama, Conner, Apayao",CHED,true
Baguio Benguet Christian Colleges Metro Baguio Inc.,00014038,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Tuba, Benguet",CHED,true
Baguio Central University,14005,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Bonifacio, Baguio City, Benguet",CHED,true
Baguio Christian Mission International College,14049,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Baguio City, Benguet",CHED,true
Baguio City Academy Colleges,14056,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Baguio City, Benguet",CHED,true
Baguio College of Technology,14036,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"#37 Harrison Road, Baguio City, Benguet",CHED,true
Baguio Cornerstone Mediary International College,14049,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Baguio City, Benguet",CHED,true
Benguet State University - Bokod,14007,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Bokod, Benguet",CHED,true
Benguet State University - Buguias,14009,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Loo, Buguias, Benguet",CHED,true
Benguet State University - Main,14008,,Chartered State College/University (Main),,Cordillera Administrative Region (CAR),,,,"Km.5, Balili, La Trinidad , Benguet",CHED,true
Benguet State University - Open University,14008a,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Km.5, Balili, La Trinidad , Benguet",CHED,true
BSBT College,14053,,Private Non-Sectarian Stock,Private,Cordillera Administrative Region (CAR),,,,"#434 Magsaysay Avenue, Baguio City, Benguet",CHED,true
BVS Colleges,14037,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"KM5, La Trinidad , Benguet",CHED,true
Casiciaco Recoletos Seminary,14024,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"#48 Naguilian Road, Baguio City, Benguet",CHED,true
Cordillera A+ Computer Technology College,14039,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Quezon, Tabuk City, Kalinga",CHED,true
Cordillera Career Development College,14010,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Buyagan, Poblacion, La Trinidad , Benguet",CHED,true
Data Center College of the Philippines - Baguio City,14045,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Bonifacio, Baguio City, Benguet",CHED,true
Data Center College of the Philippines - Bangued,14042,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Ubbog Lipcan, Agtangao, Bangued, Abra",CHED,true
Divine Word College of Bangued,14011,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Rizal, Bangued, Abra",CHED,true
"Easter College, Inc.",14028,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Easter Road, Central Guisad, Baguio City, Benguet",CHED,true
Ifugao State University - Aguinaldo,14066,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Nayon, Lamut, Ifugao",CHED,true
Ifugao State University - Hapao,14065,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Nayon, Lamut, Ifugao",CHED,true
Ifugao State University - Lagawe Campus,14012,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Nayon, Lagawe , Ifugao",CHED,true
Ifugao State University - Main,14013,,Chartered State College/University (Main),,Cordillera Administrative Region (CAR),,,,"Nayon, Lamut, Ifugao",CHED,true
Ifugao State University - Potia,14014,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Nayon, Alfonso Lista, Ifugao",CHED,true
Ifugao State University - Tinoc,14034,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Nayon, Tinoc, Ifugao",CHED,true
International School of Asia and the Pacific,14062,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Bulanao Norte, Tabuk City, Kalinga",CHED,true
Kalinga Colleges of Science and Technology,14043,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Purok 5 Provincial Road, Tabuk City, Kalinga",CHED,true
Kalinga State University - Dagupan,14029,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Quezon Street Dagupan Weste, Tabuk City, Kalinga",CHED,true
Kalinga State University - Main,14015,,Chartered State College/University (Main),,Cordillera Administrative Region (CAR),,,,"Purok 6, Bulanao, Tabuk City, Kalinga",CHED,true
Kalinga State University - Rizal,14058,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Bagbag, Bulbol, Rizal, Kalinga",CHED,true
Keystone College,14032,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"#13 Marcos Highway, Bakakeng Central, Baguio City, Benguet",CHED,true
King's College of the Philippines,14050,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Pico Road, Pico, La Trinidad , Benguet",CHED,true
Mountain Province State University - Main,14017,,Chartered State College/University (Main),,Cordillera Administrative Region (CAR),,,,"Poblacion, Bontoc , Mountain Province",CHED,true
Mountain Province State University - Tadian,14019,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Poblacion, Tadian, Mountain Province",CHED,true
National University - Baguio (Colegio Nacional),00014052,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Baguio City, Benguet",CHED,true
Philippine Baptist Theological Seminary,14070,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Tacay Rd., Guisad Central, Baguio City, Benguet",CHED,true
Philippine College of Ministry,14063,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Lamtang, Puguis, La Trinidad , Benguet",CHED,true
Philippine Military Academy,14030,,Chartered State College/University (Main),,Cordillera Administrative Region (CAR),,,,"Baguio City, Benguet",CHED,true
Philippine Nazarene College,14016,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Pico, Pico, La Trinidad , Benguet",CHED,true
Philippines Women's University - Baguio City,14047,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Baguio City, Benguet",CHED,true
Pines City Colleges,14020,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Magsaysay Avenue, Baguio City, Benguet",CHED,true
Remnant International College,14059,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Parisas Street, Baguio City, Benguet",CHED,true
Saint Louis College of Bulanao,14021,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Purok 6, Bulanao, Tabuk City, Kalinga",CHED,true
Saint Louis University,14022,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"A Bonifacio Street, Baguio City, Benguet",CHED,true
Saint Tonis College,14051,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Purok 4, Bulanao, Tabuk City, Kalinga",CHED,true
San Pablo Major Seminary,14023,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"#20 Crystal Cave Central Bakakeng, Baguio City, Benguet",CHED,true
SILOAM College,14049,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Tacay Road, Pinsao Proper, Baguio City, Benguet",CHED,true
Star Colleges,14068,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"JC 156, Pico, La Trinidad , Benguet",CHED,true
STI College - Baguio,14035,,Private Non-Sectarian Stock,Private,Cordillera Administrative Region (CAR),,,,"Private Road, Baguio City, Benguet",CHED,true
Theological Foundation for Asia,14067,,Private Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"#444 Ambuclao Road, Mines View, Baguio City, Benguet",CHED,true
University of Baguio,14026,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"General Luna Road, Baguio City, Benguet",CHED,true
University of the Cordilleras,14006,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"Corner Governor Pack Road, Baguio City, Benguet",CHED,true
University of the Philippines - Baguio,14027,,Chartered State College/University (Satellite Campus),,Cordillera Administrative Region (CAR),,,,"Governor Pack Road, Baguio City, Benguet",CHED,true
Xijen College of Mt. Province,14054,,Private Non-Sectarian Non-Stock,Private,Cordillera Administrative Region (CAR),,,,"117 Calutitt, Bontoc , Mountain Province",CHED,true
Abada College,4001,,Private Non-Sectarian Stock,Private,MIMAROPA Region,,,,"Pinamalayan, Oriental Mindoro",CHED,true
